,distribution,alpha,gamma
77,"[  2.40414617e-01   2.42480664e+00   1.29552511e-01   6.70168113e-01
   3.11045746e+00   6.73621659e-01   1.83215495e+00   4.00209549e-01
   2.02876255e+00   2.28149446e+00   4.64578967e-01   3.46299620e-01
   1.86456679e-02   1.68668453e-01   4.40556576e-02   1.77713293e+00
   3.69237331e-01   7.40370857e-01   7.85354479e-01   1.06044836e-01
   9.79530727e-01   1.26984582e+00   8.28463734e-01   2.18796247e+00
   6.03892598e-01   1.09883372e+00   1.99496060e-01   1.92806477e+00
   1.87220832e+00   7.23481026e+00   3.24900445e-01   6.35359144e-01
   4.51187084e-01   1.45036287e+00   2.65192395e+00   4.49194372e-02
   2.19231367e+00   5.44183117e-01   1.37492765e-01   4.38364027e-01
   5.49043460e-01   1.03395314e-01   1.30969147e+00   1.23219045e-01
   1.33514029e+00   5.89172701e-02   1.50985529e+00   6.82888358e-01
   1.54411746e+00   2.35490535e-02   3.99465792e-02   6.53997185e-01
   3.50698692e-01   9.21250777e-01   7.81884264e-01   1.22828070e+00
   2.04153633e-01   7.94596350e-01   1.59141418e-01   1.79817618e+00
   1.75124433e+00   5.70660150e-01   1.54352472e+00   2.78474301e-01
   3.41422532e-01   2.45126056e-01   2.66159248e+00   4.99979652e-01
   1.38888361e-01   1.74346083e+00   4.21382240e-01   1.41609870e+00
   5.73311720e-03   1.32705722e+00   5.56981953e-02   2.62085666e+00
   7.89321703e-01   7.58740408e-01   2.34423772e+00   2.02613297e+00
   8.48400095e-01   8.44287147e-01   1.03281752e+00   5.26822713e-01
   5.20859704e-01   6.14349769e-02   2.30366622e-01   3.43144040e-01
   1.95863546e+00   3.25407908e+00   1.23018809e+00   3.89597867e-01
   4.35562593e-01   4.66939604e-01   3.13885673e+00   5.41432615e-01
   5.42096790e-01   1.50536892e+00   2.90915725e-01   4.40472263e-01]",0.7999999999999999,3.4000000000000004
78,"[ 0.44833001  0.2202611   3.91856296  1.34053802  3.02879606  0.89646019
  0.05507467  0.40895848  3.20259812  0.81445699  4.0891576   0.32199903
  1.6113051   0.13209454  0.24886832  2.296249    0.39040168  2.65130611
  0.4600366   1.83607702  0.03665569  0.01127816  0.31947881  0.46517901
  0.26377314  0.23555539  0.03469634  0.04456286  0.07978745  1.36379585
  0.25528346  0.03782147  0.42846386  0.4743209   0.70613497  0.86872587
  3.2926453   0.43243033  0.44976232  0.59115793  1.00294949  0.22203717
  0.68960735  1.34951559  0.2773554   0.48196027  1.50852423  3.6262611
  1.22745433  2.30724547  0.16402669  2.23843116  0.3981018   0.89088113
  0.07015821  0.71334356  0.11011702  0.99937231  0.90248809  0.25413357
  1.27120838  0.6041413   0.3055519   0.21008703  0.01302747  3.47286621
  2.81591443  0.83615857  0.85847159  0.4386481   0.59873425  0.88261969
  1.58880081  0.12707161  4.95254169  0.61929508  0.39152969  0.35883268
  1.70616689  0.33335026  0.74225525  0.14956307  0.45082096  0.83578166
  1.10473281  0.94863548  0.02238281  0.38775817  2.4401031   0.71959881
  0.76895694  1.77362623  1.37426731  1.09448396  0.27417255  2.34500188
  2.54428417  0.44314147  0.51396757  0.48444354]",0.7999999999999999,3.6
79,"[ 0.40153786  0.00477784  3.64927967  4.50095751  1.56443904  0.75692223
  0.10763287  2.97611475  3.47675388  0.53323387  0.06351375  2.37975675
  2.73372306  2.33191384  0.96925422  0.07189909  0.61419128  0.48223053
  1.88884106  0.77298092  0.54323395  0.49509608  3.95011077  0.79613948
  1.2662131   0.17990193  0.31684837  0.87056124  0.69845951  0.43448685
  0.88086001  0.29043213  0.08583984  2.01117966  0.26161209  2.44498852
  3.2139261   1.2354042   0.11936218  0.29370977  0.58633178  0.28471794
  0.04823374  1.49786545  0.13997226  1.59797278  0.59260107  1.97755297
  2.44801912  0.71669745  0.67143392  0.08642127  0.01058864  0.40505711
  0.27565501  0.41192599  1.51729842  0.64979914  0.72815537  0.40866108
  0.82312002  0.7374671   1.62457027  1.08275742  0.48130725  0.33677414
  1.07919169  0.06342978  0.88984418  0.14372855  0.61895133  0.07418184
  1.48761918  1.68352877  0.39623365  0.97587825  0.38343692  0.49976767
  0.93583803  0.25223899  1.8377854   0.33593664  0.15454751  0.13042953
  1.9780017   0.78937838  0.57218707  0.20911838  2.84130853  0.05185712
  0.1229448   1.33809723  1.23627412  1.76047882  1.39267645  0.43687911
  0.45802301  0.81712162  1.83295689  1.41085238]",0.7999999999999999,3.8000000000000003
80,"[  7.42046602e-03   2.24650761e-01   1.02693427e+00   1.45454770e+00
   1.18411238e+00   5.00443821e+00   2.79253229e-01   2.62901911e+00
   7.42732590e-01   7.34809459e-01   1.17846330e+00   4.11642990e-01
   5.13292561e-01   1.60713354e+00   3.16712126e-01   6.50413592e+00
   3.16556458e+00   2.27627980e+00   7.79315024e-01   3.97426551e-01
   1.72267254e-01   4.53057991e-01   2.35274752e-02   1.02239071e+00
   5.59230754e-01   4.48929643e-01   9.98953050e-02   2.31423852e-01
   6.68046064e-01   4.95591341e-03   1.52243565e+00   5.17214306e-01
   5.29191724e-01   1.41781891e+00   2.46364456e-02   4.56329072e-02
   8.14057612e+00   4.92114629e-01   1.35740046e-01   1.97466299e-01
   7.25922579e-01   2.13959754e-01   1.24001156e-01   2.41865506e-01
   1.09438324e-01   9.77466148e-01   3.38382433e-02   2.36292809e+00
   2.76681375e+00   2.75486471e-01   1.71856375e-01   2.27156578e+00
   1.02365204e-01   2.40289775e+00   2.57486045e-01   1.47834687e+00
   1.75786297e-01   6.59247281e-01   1.89189058e-01   1.69297923e-01
   3.47596768e-01   5.27580965e-01   4.92709080e-01   1.35997448e-01
   1.35524862e-01   5.07962392e-01   4.11957754e-01   3.23953692e-01
   2.43509027e-01   1.14646235e-01   1.57570132e+00   7.27520143e-01
   1.26867010e+00   6.36270524e-01   3.37007493e+00   6.77299878e-01
   4.37843530e+00   7.47777041e-01   3.31459519e-01   4.23044042e-01
   2.47750287e-03   7.45468398e-03   3.21581375e+00   6.38762901e-02
   7.38058642e-01   9.15279338e-01   2.27486429e+00   1.22342450e+00
   3.33850493e+00   1.73650391e-01   1.22880243e+00   7.06531618e-02
   1.13288464e+00   2.79220838e-02   1.06961030e+00   7.32758975e-01
   8.71100798e-01   2.00116549e+00   3.98949435e-01   2.80862199e-01]",0.8999999999999999,0.0
81,"[ 0.50134713  0.74334996  1.57598403  0.40553946  1.3501941   5.7643125
  0.06159677  0.67334202  1.35891859  2.3471271   0.12838681  0.63809587
  1.13394416  0.50067157  0.15496156  0.04998322  2.0909076   0.49068946
  2.95683444  0.23707179  1.4535166   1.21688753  0.35645928  0.52231232
  0.08667742  0.96969034  0.54109481  4.56808256  0.5432505   1.25981322
  0.47185748  1.39911482  1.13846874  1.97286075  0.89718448  1.97259386
  0.0743509   6.15565582  0.28548872  0.97426023  1.13829358  1.73624385
  1.05597659  0.58016849  0.13559106  0.40954234  0.02281075  0.32979174
  0.41090486  0.77639291  0.14572837  0.12067601  0.12275446  1.54685886
  0.51996271  0.14094923  0.23818252  1.31307756  0.18226609  3.00113146
  0.45240338  2.38968214  0.34696216  2.39642314  0.93429383  0.15555876
  0.52016366  0.24835961  0.46324479  0.30798852  0.133991    0.140086
  0.12757301  0.55430729  0.32811422  0.68212486  1.26317287  0.38968446
  1.51593933  0.91930286  0.59326725  0.69622267  0.83084989  0.76973454
  2.29921896  0.03096632  0.08423035  0.03740441  2.03818501  0.5638981
  3.64052238  0.17437221  1.00784914  2.0490205   3.12200584  0.47824171
  2.92792231  0.10679667  0.26386467  0.06586921]",0.8999999999999999,0.2
82,"[ 0.55984356  1.97779311  1.19609091  0.25436075  0.62306431  1.42940318
  0.06441529  1.52280757  1.01560341  0.09170101  1.53077185  0.24179325
  0.42880343  2.00095057  0.03868835  0.03587753  0.64545717  1.20333885
  0.37715827  1.55925961  0.1104156   4.53383305  0.92950281  2.50579403
  0.74230208  1.99340661  0.58828999  1.77830924  0.06869621  2.67956317
  0.71771419  2.83571005  1.27409357  2.7027198   3.36068218  0.40035737
  0.52299519  2.30963767  0.61253463  0.06337973  0.48974698  0.58607874
  1.92606316  0.16905806  0.38776247  0.61720986  0.23273293  0.69622508
  0.41293871  0.50612415  3.11449531  0.12797582  1.33374543  1.15817869
  0.17202598  0.65546413  0.15420417  0.95238021  1.40513904  3.47955286
  0.12101134  1.59826903  1.25547562  0.30526712  0.39649571  0.72107608
  1.71992136  1.24626212  0.36628914  2.75917663  0.84187396  0.29361997
  0.05465413  0.01826564  0.17307142  1.66977188  1.34959103  0.05943482
  0.63163587  0.12495535  0.59450536  0.56975459  0.70782871  0.31084569
  0.53400954  0.57549567  2.01814336  0.51315677  2.12914602  0.61764262
  2.30237883  1.07935161  0.15309206  0.09937853  1.87710356  2.20058158
  0.53725399  0.8722912   0.2103971   0.28730411]",0.8999999999999999,0.4
83,"[ 0.22523954  0.54697593  0.25249366  0.30238823  0.09450502  2.22275668
  2.12243188  0.37457083  1.16319162  0.16555317  0.77908665  0.67125134
  0.42151039  0.09270704  0.22944786  3.13603281  0.20418282  1.94200653
  0.23174912  2.17572327  0.61400193  0.7996089   2.56461563  2.07599316
  0.60710749  1.79010855  0.82197971  0.29927067  0.58013273  0.72234554
  0.1006924   1.03533874  1.59151436  0.87344071  0.16300601  0.56348323
  0.45005715  1.1646852   2.35392135  1.95618295  0.10386987  0.20572737
  0.64146077  0.9288979   2.01666441  0.30103523  0.25427552  4.32235805
  5.89576474  2.17347743  0.59588181  0.26670764  0.7136195   0.5867961
  0.38843382  3.14760427  0.94013197  1.09577254  0.18821066  0.4532679
  0.00755941  0.15009248  2.08539463  2.79386397  0.25305456  4.78830083
  0.65221878  0.60210962  2.2954442   2.41283685  0.76295658  0.06657875
  0.00714498  0.05485994  0.26863489  0.61559612  0.05229654  0.51567056
  1.02836611  1.52060065  0.69923738  1.5365353   0.53448838  0.41218231
  1.32049558  0.59749138  0.67074985  0.39848019  0.22453526  0.7577111
  1.94045966  0.46888595  2.26121027  1.78273884  0.56859778  0.49028579
  0.60060857  0.01464838  0.03453742  0.05129184]",0.8999999999999999,0.6000000000000001
84,"[  1.16490388e+00   9.22609178e-03   2.97139319e+00   3.81245291e+00
   1.56192286e-01   3.65262377e-01   1.08269198e+00   1.13398729e+00
   1.09855543e+00   3.07782617e-01   1.44675253e+00   2.12765100e-01
   1.05370353e+00   1.58384279e-01   3.55493580e-01   9.25819652e-01
   2.24139579e+00   7.29287360e-01   5.90249567e-01   3.19800401e-01
   9.27853672e-01   8.49167034e-02   8.87411777e-01   4.08670587e-01
   2.17352012e-02   6.02465315e-01   1.27329308e-01   1.36486424e+00
   8.97947296e-01   6.28297078e-01   1.40740155e+00   3.60650155e-03
   3.17896815e-01   2.16539224e-01   2.04278082e+00   8.22060222e-01
   1.62124864e+00   4.05737206e+00   1.35352578e+00   2.33438069e+00
   3.81244348e-01   8.80085357e-01   7.95363488e-01   2.88951600e-01
   3.05821606e+00   5.41943158e-01   5.48899826e-01   1.23934186e-01
   1.59777940e+00   7.09449890e-01   7.96540969e-01   1.32245265e+00
   2.24587334e+00   1.22060860e+00   1.49827071e-01   8.59162557e-02
   1.41369083e+00   1.03562167e-01   1.52568452e+00   3.15651227e+00
   1.32884299e-01   5.22423884e-01   4.12576631e-01   6.95928410e-01
   1.48227830e-02   3.53040603e-01   3.83391399e-01   3.78717802e-01
   5.16592067e-01   6.71625823e-01   3.48722826e-01   1.67221494e+00
   4.18966221e-01   3.95166655e-01   7.73893042e-01   7.77717450e-01
   1.57569439e+00   8.64656923e-01   1.56000729e-01   1.59136248e+00
   1.24457472e+00   6.22881636e-01   1.42702359e+00   5.10217087e-01
   5.01988486e-01   7.06165372e-01   5.22999345e-01   5.25912909e-01
   8.03568849e-01   3.69992308e+00   3.04245697e-01   2.23023448e+00
   1.07403379e-01   1.21074487e+00   7.33796069e+00   2.72141102e-01
   6.01352735e-01   1.72824710e+00   1.04571634e+00   7.29359861e-01]",0.8999999999999999,0.8
85,"[  1.55470528e+00   1.18352084e-01   2.71572430e+00   6.87505173e-01
   3.69889384e-02   3.06116835e-01   1.21510147e+00   8.20158104e-01
   6.09563914e-01   1.31856280e+00   2.34720267e-01   1.13703427e+00
   1.03454540e-01   1.63077776e+00   8.70188979e-01   1.28369304e+00
   5.06994420e-02   2.37901220e-02   1.95942791e+00   3.31304366e-01
   9.30439479e-01   2.53338870e+00   8.40877070e-01   1.09593238e+00
   1.93669361e+00   1.39141611e+00   7.63232144e-01   6.19675122e-01
   4.37293328e-02   1.86374311e+00   2.86183575e+00   1.04397138e+00
   1.01078628e+00   1.74841595e+00   4.52210744e-03   3.51495302e+00
   9.01759800e-01   1.17465875e+00   2.20852141e-01   4.76966662e-01
   2.30463599e-01   8.95324787e-01   2.17811948e-02   1.10400700e+00
   8.96903993e-01   8.66134250e-01   8.51515001e-01   8.83292837e-02
   4.28651956e+00   1.35677581e-01   1.25854002e+00   8.76387378e-01
   3.53946784e-01   1.96908319e-01   1.57765272e+00   7.96357154e-02
   4.69555818e+00   4.56655155e-01   6.43137978e-01   5.61549792e-01
   4.74288114e-01   3.66327169e+00   7.56337130e-01   1.62871442e+00
   1.16747756e+00   9.20136908e-01   1.15503787e+00   1.79025356e-01
   1.21188291e+00   8.66217720e-02   1.78134300e+00   9.56925028e-01
   2.72414537e-01   1.00393180e-01   7.71939037e-02   7.86486758e-01
   2.85714291e-01   5.48004164e-01   3.93425572e-01   5.91805823e-01
   2.34937134e+00   3.84376290e-01   8.46508584e-01   6.45724387e-01
   5.48789719e-01   5.86309923e-02   1.39022307e-02   4.21084062e-01
   1.97758299e+00   9.28122154e-01   2.72540722e+00   2.04831899e+00
   2.12974064e-01   8.82946801e-01   3.43443664e-01   2.28545101e+00
   2.23951878e+00   9.77721915e-01   7.86823240e-01   2.24454770e-01]",0.8999999999999999,1.0
86,"[  1.59239793e+00   1.92562979e+00   3.10944282e-02   2.85128358e+00
   1.02465852e+00   4.02301796e+00   4.80125488e+00   1.21950962e-01
   1.35978657e+00   1.67787410e+00   1.12079906e+00   4.27092650e+00
   6.11081347e-01   1.04007798e+00   7.75705049e-01   5.05864065e+00
   2.51792802e-01   7.88177696e-01   1.07189659e-03   2.10481371e+00
   3.45867909e-01   1.86883233e+00   1.11449922e+00   2.88071289e+00
   1.71897025e+00   3.79696967e-01   6.36607758e-03   1.98509917e+00
   2.19510942e+00   4.31401121e-01   7.71145874e-01   2.70381832e+00
   4.16824158e-01   2.61207261e-01   4.85623993e-01   2.43793402e+00
   1.37339847e+00   7.92907242e-01   1.68116455e+00   4.94391034e-01
   3.92342764e-01   7.82374537e-02   7.63126032e-02   1.48232018e-01
   3.56762421e-01   1.36850721e+00   3.23952857e-01   1.51173511e+00
   1.59527384e+00   2.14903638e-01   2.30254984e+00   8.76786529e-01
   4.11619927e-01   5.27280468e-02   1.53684563e-01   1.79847607e-01
   1.55418284e-01   1.33226200e+00   1.08956491e-01   1.17052033e+00
   5.63464991e-02   5.23023001e-02   3.12611425e-01   6.40834555e-01
   6.93678290e-01   8.64989398e-02   4.94809574e-01   9.48526058e-01
   1.35732999e-02   1.48784523e+00   8.34047553e-01   1.50607496e+00
   2.76917247e-01   7.21108723e-02   7.80452519e-01   8.25721152e-02
   5.04045669e-01   5.09536818e-01   2.48743205e-01   3.74445469e-01
   6.03551080e-01   5.49992821e-01   4.61220488e-01   1.29112310e+00
   4.51124296e-01   1.68453420e+00   2.53856116e-03   9.95654628e-01
   8.21882853e-01   1.12836353e+00   6.31756027e-01   8.57138067e-01
   4.43768358e-01   2.91394788e-01   7.87541543e-01   1.60588428e+00
   1.26156627e+00   2.15376019e+00   4.66316920e-01   9.47276168e-01]",0.8999999999999999,1.2000000000000002
87,"[ 1.13263447  2.15417514  0.05224535  0.54159291  0.91085805  0.47046583
  1.62477207  0.38641965  0.82959966  0.32812125  0.75313929  0.15104521
  0.15080815  0.15162326  0.46116432  0.09647357  1.63011693  3.44124856
  0.657543    0.04021333  0.52374356  0.13779782  0.01907569  0.65682611
  0.53521961  0.42709865  1.01297537  0.10502328  0.15675194  0.85435375
  0.2163815   0.61622932  0.13471899  1.35230063  1.62872678  0.38503623
  0.36563727  0.63868541  1.7252083   0.53274089  1.89944721  0.8110929
  0.18881378  0.14393145  1.12685582  0.14893593  1.11274318  3.19671146
  0.73621302  0.21713809  4.01895656  0.57353913  1.90141166  0.33728541
  1.8059026   1.15112999  0.12728651  0.33688894  2.19402241  1.94807114
  0.12391027  1.18232087  0.25719356  1.23768296  1.99743334  1.92149046
  2.32795899  0.51006483  0.77285785  0.26801971  1.25220702  0.15801429
  0.24844742  0.33797886  0.17471682  1.71180368  0.71232295  6.87918204
  0.4217409   0.43022324  0.42978001  0.01233115  1.3862029   3.44165229
  2.21385041  1.38675114  0.05256681  0.59169529  2.14726702  0.83057953
  4.9004849   2.03632898  0.2149091   1.35956671  0.59821672  0.33167641
  0.44115654  0.49843492  1.01693197  1.21887888]",0.8999999999999999,1.4000000000000001
88,"[ 1.0778912   0.76928601  2.59135782  2.62286473  0.93252419  0.18242917
  0.61012446  0.74055079  0.17645791  0.04405375  0.3249169   1.08745637
  1.08082916  1.21596605  1.35811718  0.56395448  0.12602939  1.98663679
  0.07398046  0.16304633  0.88628416  0.20527467  0.13169657  3.10561022
  0.72720273  5.41063185  1.32337931  1.13330624  1.22284326  0.15655884
  0.26127314  0.43218475  0.60851357  1.29166158  0.94310278  0.85564504
  0.39976843  2.10470385  1.78464556  0.15861726  0.71047816  0.13735137
  0.06756286  4.06405477  0.13599059  0.07585524  0.5744939   0.2525445
  0.08055406  1.00121641  0.65231258  1.98847869  1.23054949  0.58589092
  0.37310621  1.59411059  1.97169118  1.58872365  1.22477783  0.03089079
  0.51756301  0.16146779  0.99186863  0.3929994   0.38301064  5.33188645
  0.03117157  3.45784532  1.03075964  0.35895016  0.04012387  0.25976191
  0.08310225  1.12119254  0.16394888  1.32514177  0.40132721  0.33249896
  2.43844079  0.57220487  0.52997308  0.6258875   0.20578345  0.22722492
  0.00564915  0.0842511   5.54954401  0.60754756  0.10536549  0.94100351
  0.61818646  2.64879885  1.01693016  4.67164873  0.21513592  1.92895532
  0.35791325  0.51790112  0.00609863  0.52892538]",0.8999999999999999,1.6
89,"[ 1.12590589  0.32454626  0.75023023  2.90366373  2.32185759  0.62241444
  0.40939011  0.82282793  0.39133728  0.17134638  0.62198212  1.85742
  0.65634585  0.88841264  1.34614287  0.07656244  0.77020628  1.52365285
  0.70981664  0.23464923  1.73255749  2.7020061   0.37514071  0.52333123
  0.30282738  0.16212861  0.61540716  0.24883032  1.03927569  1.01161826
  0.45388481  0.69316261  0.12692534  0.58259805  0.44919638  2.5396066
  0.49586706  0.19054642  1.16371702  0.18790468  1.03169963  0.30787133
  1.68403437  2.2105078   1.03554817  0.14236471  0.85279245  0.30664749
  0.22053192  0.94963988  1.58843474  1.36749781  1.39554259  0.97200212
  0.11771892  2.99041964  2.83196905  1.6844121   0.46306415  0.66085043
  0.08601515  0.44610744  0.01449901  1.04496469  1.1403686   1.04681026
  0.10396467  1.15695648  0.53593956  0.52647155  3.75586817  0.43731135
  1.79572698  1.63122495  1.36307929  4.69211135  0.37130322  0.55476577
  0.92071533  0.32947696  0.01856502  0.82991393  0.29781464  0.50847298
  0.67132281  1.10625053  0.07811876  0.53366185  1.11072274  1.30363288
  3.48614923  3.57074558  1.07071492  0.66187644  0.39510076  0.58595226
  0.05792204  3.52818039  0.88721325  0.40519624]",0.8999999999999999,1.8
90,"[ 0.31713396  3.43734432  1.06302096  0.45240805  0.65171057  0.89758986
  2.4470838   0.36954229  1.16282267  1.2968476   0.84360072  2.05566895
  0.18735935  5.45863194  0.03071751  0.12107599  0.73601228  0.08251005
  0.02361188  0.47544087  2.71644011  1.67302962  1.06818658  0.10836662
  0.89082224  0.50893763  1.29035149  0.16134397  0.46783666  0.51322083
  0.09224225  2.19671153  0.11361102  0.25999198  0.44998127  0.85438705
  1.37925069  0.40928234  1.65587487  0.95556977  3.35789582  1.75420215
  0.06982001  0.44693729  3.389634    2.51775124  0.90011446  1.67317753
  1.58355211  0.37178948  0.00665766  0.70906889  0.2029571   0.13162015
  1.01392356  1.25557723  0.02550202  0.15045859  2.15060779  0.56716947
  0.7196872   0.56306053  0.4410197   1.35847986  1.75903481  2.05328632
  0.45271914  0.07043723  1.92825051  0.45418984  0.33210178  1.00925008
  0.32075143  0.71842312  1.41944729  0.04518164  0.56877126  0.83125878
  0.02493231  0.97035931  2.99166506  2.68749401  1.48163729  0.04655446
  1.03118261  1.88171342  1.25861577  0.85761867  1.50338444  0.2948342
  0.47791441  0.71411089  1.17669781  0.6188406   0.90549133  1.42097335
  0.19903041  0.02516998  1.61314355  0.61929692]",0.8999999999999999,2.0
91,"[  3.62671825e+00   2.00215412e+00   7.35303412e-01   1.29041904e+00
   9.65201289e-01   6.67330513e-01   1.18471946e+00   3.77585781e-01
   6.79578782e-01   2.62769723e-02   3.04218741e-01   3.10958806e-03
   5.28698313e+00   7.18816485e-01   2.24903107e+00   3.39739120e+00
   4.63290696e-01   1.47246074e-01   1.09522988e+00   2.95621440e-01
   1.66921407e-01   5.53071756e-01   3.20458329e-01   2.45055926e-01
   5.36262021e-01   2.21847857e-01   1.20274413e-02   8.92573912e-02
   1.55576825e+00   8.46899821e-01   4.90752898e-01   1.26310183e-01
   5.56987686e-01   1.16613064e+00   2.24284220e+00   1.25811040e-01
   3.30195314e-01   2.92193926e+00   1.06335156e+00   1.36017367e+00
   1.45299674e+00   1.59363987e+00   8.95672962e-01   3.28376678e-01
   7.19073434e-01   2.56910239e-01   4.74179640e-01   3.02211706e-01
   2.12390854e+00   3.51681570e-01   6.79893265e-01   5.75401529e-01
   1.85475891e-01   6.48636219e-02   1.13822878e+00   1.30920894e+00
   4.43731983e-01   2.00214282e+00   7.00788938e-01   3.01332930e+00
   5.29344915e+00   1.25804460e+00   2.51524776e-01   1.85399008e-01
   2.71828860e-01   5.18334032e-02   5.34048769e-01   4.93284194e-01
   1.62815442e+00   3.72629718e-01   1.47782154e+00   4.38556244e-01
   2.39159648e+00   7.49018884e-01   1.85825568e-01   1.80136529e+00
   4.27752439e-01   1.16193113e-03   5.97582858e-01   6.06063384e-01
   1.18807337e+00   3.66248966e+00   4.74641698e-01   1.00063962e+00
   6.85745895e-01   1.20308487e+00   2.46273891e+00   1.27672672e+00
   1.61559310e+00   5.42635335e-01   3.38718851e-01   5.04419493e-01
   5.27838489e-01   1.67370162e+00   1.25889721e+00   2.46340726e-01
   1.07461633e+00   4.04348481e-01   6.61491645e-02   1.71565188e+00]",0.8999999999999999,2.2
92,"[  2.55586364e-01   2.44279005e+00   1.05398196e+00   2.50006149e+00
   2.28135547e+00   1.77543360e+00   4.19427975e-02   4.43983578e+00
   1.77860298e-03   1.16928755e+00   6.54482670e-01   1.10255317e-01
   1.13309857e+00   8.68452325e-01   4.39942500e+00   9.12890537e-01
   9.70933291e-02   2.63105033e-01   6.78804981e-01   9.44242651e-01
   1.65247305e-01   1.88086711e+00   8.05964258e-01   2.29023351e-01
   3.14373625e+00   7.68704024e-02   1.06276401e-01   4.93876390e-01
   9.71961106e-01   1.57289438e-01   1.02717704e+00   3.72277965e-01
   9.42857047e-01   8.40328429e-01   2.44810193e-01   6.63291921e-01
   1.17432977e+00   9.41951532e-01   2.60857182e+00   7.73202732e-01
   3.37965371e-01   1.96017376e+00   2.53824869e+00   1.12314042e+00
   4.64156843e-01   1.42748301e+00   8.58825691e-02   2.85330246e+00
   7.98639482e-01   8.34644855e-01   1.24575669e-01   2.65970915e-01
   8.25258341e-03   1.51240327e+00   7.98102076e-02   3.42676255e-01
   6.53310229e-02   5.01842521e-01   5.33834598e-01   4.29997728e-01
   3.23863120e-01   9.34948904e-01   1.34843995e+00   9.24734022e-01
   1.18071184e+00   3.26988054e-01   5.35780943e-01   1.00646495e+00
   2.69067518e-01   2.55892514e+00   2.26934088e-01   4.01580923e-01
   7.51350750e-01   1.29604604e+00   3.25008192e-01   1.03257477e+00
   1.05293896e+00   6.88924055e-01   4.70578743e-01   2.43124684e-01
   2.38320924e+00   2.53814673e-02   3.15009467e-01   2.11897215e-01
   1.57723387e+00   1.08301657e+00   3.31290872e-01   2.69682780e-02
   1.48626686e+00   2.54054695e+00   2.08517927e+00   6.67268515e-01
   4.92225035e+00   4.77862395e-01   9.08013057e-02   7.44090928e-01
   1.40670444e+00   3.54174706e+00   1.99168441e-01   5.29740752e-02]",0.8999999999999999,2.4000000000000004
93,"[  2.51724580e-01   9.48544963e-01   1.36108626e-02   1.37646275e-01
   1.01895888e+00   1.49022352e-01   1.80895655e+00   2.65559296e-01
   3.88498024e+00   2.72694715e-01   6.39989779e-01   6.00357735e-02
   4.50177922e-01   3.43246250e-01   2.73076148e-01   7.78903064e-01
   1.47591930e+00   5.13290146e-01   3.06902710e-01   4.95958681e-01
   4.33879661e-01   8.42423282e-01   5.38315306e-01   1.27039121e-01
   2.33506422e+00   6.63469007e-01   1.29117476e+00   2.04221107e+00
   1.25497701e+00   1.32494819e+00   2.38500839e+00   1.36196051e+00
   2.21499783e-01   3.37798090e+00   1.14197767e+00   1.40365084e-01
   5.72140827e-01   8.36252623e-01   6.55395912e-01   4.17069229e+00
   6.63653338e-01   2.09341264e+00   2.01348057e-01   1.08248597e-01
   2.58303485e+00   2.47697860e+00   2.71130321e-01   1.08773150e+00
   1.24091492e+00   3.75874479e+00   1.72391783e+00   5.33918039e-01
   2.13277580e+00   1.12213278e-01   4.70776411e-01   4.20811600e+00
   8.41972265e-01   1.07970720e+00   1.50970287e+00   1.01129638e-01
   3.76295285e-01   5.56850429e-01   6.40785242e-02   2.13663656e-01
   1.87133871e+00   4.64518686e-02   5.67324695e-01   2.91928844e-01
   2.70779414e+00   3.50194161e-01   9.92240859e-01   6.61967900e-01
   1.33376227e+00   4.30786532e-01   2.88588279e-01   5.27155990e-01
   8.94160837e-04   6.07485436e-02   1.27216629e-01   1.37820535e+00
   1.26886429e+00   2.11422562e-01   3.38911525e+00   3.35606984e+00
   5.54443187e-01   1.21654078e+00   1.09461772e-02   1.88901010e-02
   1.26879170e+00   2.57100375e-01   5.67552357e-01   1.55833191e+00
   6.16698616e-02   1.27669132e+00   7.43112830e-01   4.73862011e-01
   2.12818795e-02   1.24229348e+00   1.95568831e+00   6.94443900e-01]",0.8999999999999999,2.6
94,"[ 1.63337423  5.87330342  0.3027341   0.2068649   1.23914632  0.40820767
  0.61150108  0.37033014  2.44496185  1.29709117  2.1828005   0.2977769
  0.94840068  3.04043163  0.31137565  1.49449407  0.63639759  0.33367129
  0.13795664  0.53181984  0.23876739  3.89846718  1.934815    0.60346795
  0.45638433  1.69345456  0.54621512  0.62043741  0.37286969  1.62394746
  1.19718468  0.07446551  1.60027121  1.24134419  1.73543165  0.32838625
  0.75083745  1.46708409  0.27613298  0.83291826  0.73026689  0.06379375
  0.37138748  1.5659134   0.33767608  1.89686343  0.12864746  0.60582423
  2.34898547  2.48445877  2.07524938  0.01191808  0.05017611  0.27627843
  0.32381651  0.4946596   1.03268488  0.31842503  0.84686296  0.91941592
  0.01655702  3.64640682  2.05001348  0.0080932   0.59629437  2.35884307
  0.52069084  1.36835794  0.78789817  1.3164354   0.82906483  0.43502605
  0.87278664  1.32332778  0.54669001  0.25073697  2.85922603  0.39241745
  1.21354143  0.52299306  1.63905269  0.37322009  0.13071165  0.13578644
  0.57359549  0.43301493  0.7660964   1.33845196  0.15683932  2.70664622
  2.36455891  1.17212814  0.04597595  0.15365263  0.63811266  0.88954961
  0.43673782  0.61619802  0.29447308  0.54097154]",0.8999999999999999,2.8000000000000003
