,alpha,gamma,distribution,parameters
371,1.4,1.1,pareto,"(1.8936523871959703, -1.1906246914208718, 0.59746087626526201)"
372,1.4,1.2000000000000002,pareto,"(2.1648074018108545, -1.3492904210995404, 0.74020240683480709)"
373,1.4,1.3,pareto,"(1.8431165896328703, -1.3372372003675377, 0.67189135839628977)"
374,1.4,1.4000000000000001,pareto,"(1.8695775650387507, -1.2685324829431617, 0.63139867843636766)"
375,1.4,1.5,pareto,"(2.1232187312497821, -1.4349919634138555, 0.79120594667519761)"
376,1.4,1.6,pareto,"(1.9481342717618682, -1.4446987659814443, 0.7710714217214294)"
377,1.4,1.7000000000000002,pareto,"(1.6549711272246443, -1.3845654301080206, 0.65961950127216495)"
378,1.4,1.8,pareto,"(1.4987740398851266, -1.3112577253982345, 0.58678265667423757)"
379,1.4,1.9000000000000001,pareto,"(1.608291335708868, -1.4256604364101855, 0.67637673459808512)"
380,1.4,2.0,pareto,"(2.6107585089296292, -1.8089361534401029, 1.1293499876335575)"
381,1.4,2.1,pareto,"(0.63793589597498812, -1.294869526664316, 0.45067314091973198)"
382,1.4,2.2,pareto,"(1.6692748262156472, -1.5459795813704469, 0.7627707338533507)"
383,1.4,2.3000000000000003,pareto,"(1.7139080923937409, -1.5150864452962429, 0.75771219468629702)"
384,1.4,2.4000000000000004,pareto,"(1.5975406921358082, -1.4708637674295932, 0.69438629271071695)"
385,1.4,2.5,pareto,"(1.6912886277069461, -1.7533368537446323, 0.88407749077993558)"
386,1.4,2.6,pareto,"(1.6322275000483364, -1.562163042074783, 0.76385236771583731)"
387,1.4,2.7,pareto,"(1.7090451064792775, -1.55033753715983, 0.76978500851465037)"
388,1.4,2.8000000000000003,pareto,"(1.6086659350695935, -1.6533950728144862, 0.80252010914632455)"
389,1.4,2.9000000000000004,pareto,"(1.2298148876062467, -1.2297662064063792, 0.4719231468545001)"
390,1.4,3.0,pareto,"(1.3940680496798157, -1.4616089432332706, 0.63654803465753385)"
391,1.4,3.1,pareto,"(1.5913744258469844, -1.4864444015540546, 0.69922189940283008)"
392,1.4,3.2,pareto,"(1.6660203995195526, -1.5702961706447067, 0.76752006544859186)"
393,1.4,3.3000000000000003,pareto,"(1.6826270225594073, -1.5159101914608031, 0.74001177401389329)"
394,1.4,3.4000000000000004,pareto,"(1.2689256465419871, -1.4747982301436755, 0.60670892168128809)"
395,1.4,3.5,pareto,"(1.4803265379455799, -1.3823228163492716, 0.62219967354797512)"
396,1.4,3.6,pareto,"(6.5011195178437298, -5.6586716186759514, 4.7900978730296764)"
397,1.4,3.7,pareto,"(1.5163921320149991, -1.7469729821685331, 0.82500677986030935)"
398,1.4,3.8000000000000003,pareto,"(1.2625259473831796, -1.4129603654417697, 0.57758703546783519)"
399,1.4,3.9000000000000004,pareto,"(3.726076879555503, -2.9583386059033909, 2.1715541953382056)"
400,1.4999999999999998,0.0,pareto,"(1.6315768497940497, -0.79962830855402545, 0.32897540394656066)"
401,1.4999999999999998,0.1,pareto,"(1.9428708988743675, -0.89194862366032446, 0.41738800428147282)"
402,1.4999999999999998,0.2,pareto,"(1.7957278236268137, -0.96405456607941598, 0.43585281363482026)"
403,1.4999999999999998,0.30000000000000004,pareto,"(1.7918043327002537, -0.80296793310920611, 0.35123414574960354)"
404,1.4999999999999998,0.4,pareto,"(2.5716851396577831, -1.0741320234514631, 0.61084656875950261)"
405,1.4999999999999998,0.5,pareto,"(1.6149221863821879, -0.78751175208501301, 0.32120754685737662)"
406,1.4999999999999998,0.6000000000000001,pareto,"(2.8560969160397285, -1.3160141456219836, 0.81873181907003723)"
407,1.4999999999999998,0.7000000000000001,pareto,"(2.8228954073207202, -1.3321912638860343, 0.83428366109937591)"
408,1.4999999999999998,0.8,pareto,"(1.6578160676722606, -0.9147873798551498, 0.40292539329401755)"
409,1.4999999999999998,0.9,pareto,"(2.097157949476582, -1.0460683642331858, 0.55752951230494507)"
410,1.4999999999999998,1.0,pareto,"(1.7826255313382142, -0.96538304118940277, 0.4472770984842982)"
411,1.4999999999999998,1.1,pareto,"(2.4351449549118662, -1.2260897205661765, 0.70664528201275134)"
412,1.4999999999999998,1.2000000000000002,pareto,"(2.179537001911152, -1.2285829586518164, 0.67635274679899982)"
413,1.4999999999999998,1.3,pareto,"(2.700849728423504, -1.2450445466110014, 0.76522764344075356)"
414,1.4999999999999998,1.4000000000000001,pareto,"(2.6299233605432883, -1.2971935315396845, 0.80017252673544026)"
415,1.4999999999999998,1.5,pareto,"(2.0746192017051142, -1.1408694333047986, 0.59936138187027577)"
416,1.4999999999999998,1.6,pareto,"(1.6499932743954391, -1.0556480508760604, 0.47961252993044579)"
417,1.4999999999999998,1.7000000000000002,pareto,"(2.55064680605203, -1.4786090434105279, 0.89185052054604863)"
418,1.4999999999999998,1.8,pareto,"(1.8728516325001578, -1.3785213772498697, 0.70498472470444029)"
419,1.4999999999999998,1.9000000000000001,pareto,"(1.6353131825737903, -1.0260182104588416, 0.46859431101420856)"
420,1.4999999999999998,2.0,pareto,"(1.802420253706027, -1.3857825248927758, 0.69757425866908762)"
421,1.4999999999999998,2.1,pareto,"(1.8017697692596566, -1.349450907828232, 0.66950592311492063)"
422,1.4999999999999998,2.2,pareto,"(2.7934749783773931, -1.5520184610548706, 0.98852053146637653)"
423,1.4999999999999998,2.3000000000000003,pareto,"(1.450025349823493, -1.2981656623959061, 0.56493503067089978)"
424,1.4999999999999998,2.4000000000000004,pareto,"(1.6594511477373826, -1.3376956753846829, 0.6366175629714339)"
425,1.4999999999999998,2.5,pareto,"(2.0235846979433187, -1.4707164290934966, 0.78743262943699188)"
426,1.4999999999999998,2.6,pareto,"(1.8875609342895505, -1.5358083856505917, 0.80093507281039189)"
427,1.4999999999999998,2.7,pareto,"(3.8452232240316064, -2.7551735481175479, 2.0393778986955322)"
428,1.4999999999999998,2.8000000000000003,pareto,"(1.6192944752619733, -1.412502375620694, 0.6665209386122839)"
429,1.4999999999999998,2.9000000000000004,pareto,"(1.7192237334477927, -1.4253394193750024, 0.70330636130533786)"
430,1.4999999999999998,3.0,pareto,"(3.6203583912556843, -2.3947752060911487, 1.7325120037656978)"
431,1.4999999999999998,3.1,pareto,"(5.4179147280082276, -4.2623234578986615, 3.4951863728640937)"
432,1.4999999999999998,3.2,pareto,"(13708091.008348651, -16646366.472997144, 16646365.727964528)"
433,1.4999999999999998,3.3000000000000003,pareto,"(1.582692191808367, -1.4872104797827459, 0.70306071492949185)"
434,1.4999999999999998,3.4000000000000004,pareto,"(1.666330443063968, -1.5604056060960798, 0.76561777352724969)"
435,1.4999999999999998,3.5,pareto,"(1.6245175752315519, -1.5765393589404519, 0.7564289134038964)"
436,1.4999999999999998,3.6,pareto,"(1.1273971845290967, -1.3680273891248813, 0.5351213092047884)"
437,1.4999999999999998,3.7,pareto,"(1.6353640706719887, -1.601757504501474, 0.77654648760316358)"
438,1.4999999999999998,3.8000000000000003,pareto,"(1.6332333894173541, -1.6015549921604824, 0.78715507227074177)"
439,1.4999999999999998,3.9000000000000004,pareto,"(1.6761445518090823, -1.578227939617554, 0.78340563601798086)"
440,1.5999999999999996,0.0,pareto,"(1.5832409659102185, -0.81469349687615544, 0.32314984131428193)"
441,1.5999999999999996,0.1,pareto,"(0.31373964165377033, -0.3812668260202059, 0.02861597445488067)"
442,1.5999999999999996,0.2,pareto,"(1.7079940133613851, -0.72603896632753773, 0.30320891052414578)"
443,1.5999999999999996,0.30000000000000004,pareto,"(3.081080892308611, -1.2289261630077846, 0.77702753172331596)"
444,1.5999999999999996,0.4,pareto,"(2.0379501686463639, -0.99105224199895825, 0.48060858856451244)"
445,1.5999999999999996,0.5,pareto,"(1.7430336397932207, -0.74515147293268535, 0.32092146536378885)"
446,1.5999999999999996,0.6000000000000001,pareto,"(1.7993416372139057, -0.80748221855424429, 0.3586113788416519)"
447,1.5999999999999996,0.7000000000000001,pareto,"(1.6190210938806029, -0.73312086459851056, 0.29671920525714435)"
448,1.5999999999999996,0.8,pareto,"(1.9544541479639701, -1.1136491670826096, 0.56218807234799517)"
449,1.5999999999999996,0.9,pareto,"(3.0680959414945992, -1.2220461904856346, 0.77500197884593169)"
450,1.5999999999999996,1.0,pareto,"(12.815879030193962, -6.2452389420979015, 5.8388908849557559)"
451,1.5999999999999996,1.1,pareto,"(1.8425833208541023, -0.86996209203097208, 0.40668858458112533)"
452,1.5999999999999996,1.2000000000000002,pareto,"(2.0008663239489493, -1.0276929559043166, 0.51044593491848556)"
453,1.5999999999999996,1.3,pareto,"(2.0882471119685535, -1.1872257929315335, 0.63099023066155491)"
454,1.5999999999999996,1.4000000000000001,pareto,"(2.9095047022547265, -1.2192174876653308, 0.76964573238110467)"
455,1.5999999999999996,1.5,pareto,"(1.9097330035917683, -0.95632834266302003, 0.46490353116338434)"
456,1.5999999999999996,1.6,pareto,"(2.4464109904263989, -1.3142546715025649, 0.7695696225460873)"
457,1.5999999999999996,1.7000000000000002,pareto,"(2.7752691776655798, -1.3506285420300044, 0.83895160637877919)"
458,1.5999999999999996,1.8,pareto,"(1.8077124662205704, -1.2553334749640288, 0.61864524577375735)"
459,1.5999999999999996,1.9000000000000001,pareto,"(1.7541763087038005, -1.169203648432942, 0.55792976784161907)"
460,1.5999999999999996,2.0,pareto,"(1.862411101234025, -1.2243846878859674, 0.61800392030284912)"
461,1.5999999999999996,2.1,pareto,"(1.5336432472362391, -0.93867126984667548, 0.41480840521071377)"
462,1.5999999999999996,2.2,pareto,"(1.8247749271126801, -1.290073691188687, 0.63855722773109447)"
463,1.5999999999999996,2.3000000000000003,pareto,"(1.8301047068427847, -1.3813460346050492, 0.69986807761910641)"
464,1.5999999999999996,2.4000000000000004,pareto,"(1.590496048470484, -1.4818047532303429, 0.70406943847960135)"
465,1.5999999999999996,2.5,pareto,"(1.9204174660062177, -1.3313858593346852, 0.6819359786616932)"
466,1.5999999999999996,2.6,pareto,"(4.3609443698920956, -2.7532873761258214, 2.1156949476859186)"
467,1.5999999999999996,2.7,pareto,"(1.9982157625653758, -1.4293406584585837, 0.75485240334829118)"
468,1.5999999999999996,2.8000000000000003,pareto,"(1.9214445497403261, -1.2522402242611415, 0.66958711876924437)"
469,1.5999999999999996,2.9000000000000004,pareto,"(1.4849035833277111, -1.3894534770025233, 0.63644526149234149)"
470,1.5999999999999996,3.0,pareto,"(1.6929529438046624, -1.5582461065410458, 0.77229869774273641)"
471,1.5999999999999996,3.1,pareto,"(3.5828997737667638, -2.7087845188184412, 1.959289240803928)"
472,1.5999999999999996,3.2,pareto,"(1.4825247664078489, -1.1216237130904032, 0.49726443518896268)"
473,1.5999999999999996,3.3000000000000003,pareto,"(1.7054961461493738, -1.5316589010869679, 0.76637602259235293)"
474,1.5999999999999996,3.4000000000000004,pareto,"(1.2119663294189154, -1.1987529739947718, 0.45265532845591261)"
475,1.5999999999999996,3.5,pareto,"(1.8025893710432888, -1.6248492178531286, 0.83847499229604527)"
476,1.5999999999999996,3.6,pareto,"(1.9904393245734169, -1.7087247951029445, 0.93290208950219267)"
477,1.5999999999999996,3.7,pareto,"(1.6238595974608998, -1.576077295437992, 0.7686063541222159)"
478,1.5999999999999996,3.8000000000000003,pareto,"(1.601256654681956, -1.451185706553372, 0.68661776369832328)"
479,1.5999999999999996,3.9000000000000004,pareto,"(1.4698856312042698, -1.5220726579058943, 0.68774076577157173)"
480,1.6999999999999997,0.0,pareto,"(2.3048318574961266, -0.93030501637346341, 0.48012432235139901)"
481,1.6999999999999997,0.1,pareto,"(3.4874442697729462, -1.1073901333899991, 0.71859801869996076)"
482,1.6999999999999997,0.2,pareto,"(2.1264160114997939, -0.92613778024162485, 0.45891871518754235)"
483,1.6999999999999997,0.30000000000000004,pareto,"(0.31275905134471604, -0.36688889742893893, 0.024435812879195641)"
484,1.6999999999999997,0.4,pareto,"(1.5925837214168628, -0.60134051273252287, 0.22760374764637353)"
485,1.6999999999999997,0.5,pareto,"(1.8621019134444725, -0.78045360789225326, 0.34765283614719877)"
486,1.6999999999999997,0.6000000000000001,pareto,"(1.807996466801931, -0.77417321603953304, 0.33609540507687302)"
487,1.6999999999999997,0.7000000000000001,pareto,"(2.0245399390405137, -0.64659113260426437, 0.28951225422480598)"
488,1.6999999999999997,0.8,pareto,"(1.9115078474455376, -0.80090975664458797, 0.37625925504004687)"
489,1.6999999999999997,0.9,pareto,"(1.8327450603577611, -0.76666038920160395, 0.35247817598139047)"
490,1.6999999999999997,1.0,pareto,"(1.8274115928776102, -0.73266520748822839, 0.3248246953105754)"
491,1.6999999999999997,1.1,pareto,"(3.2989084609438848, -1.1403882964029721, 0.73346988210450026)"
492,1.6999999999999997,1.2000000000000002,pareto,"(3.0306266336917584, -1.2224799510187667, 0.77069372333623343)"
493,1.6999999999999997,1.3,pareto,"(1.733640154979168, -0.92943660567457487, 0.42764385354450973)"
494,1.6999999999999997,1.4000000000000001,pareto,"(3.1927605936688774, -1.4476989262483104, 0.94948504249738641)"
495,1.6999999999999997,1.5,pareto,"(2.0299018856464626, -1.1769135003568256, 0.60483583336752966)"
496,1.6999999999999997,1.6,pareto,"(1.1032628196253689, -0.61324186329790464, 0.18796270095181972)"
497,1.6999999999999997,1.7000000000000002,pareto,"(1.7509155580173559, -0.99938210968284813, 0.47631599414232484)"
498,1.6999999999999997,1.8,pareto,"(2.3453789732609431, -1.1343278126087202, 0.63898281344300156)"
499,1.6999999999999997,1.9000000000000001,pareto,"(1.5848759582292673, -1.0327869299903947, 0.45722776716012548)"
500,1.6999999999999997,2.0,pareto,"(1.6068629262041083, -0.96808085872527194, 0.42733883333430511)"
501,1.6999999999999997,2.1,pareto,"(1.5740862091401495, -1.0613764257408409, 0.47277517345895698)"
502,1.6999999999999997,2.2,pareto,"(2.0876609051662482, -1.2010742289286047, 0.63734113821770433)"
503,1.6999999999999997,2.3000000000000003,pareto,"(1.498517649333067, -0.92150762954035559, 0.38949646317392822)"
504,1.6999999999999997,2.4000000000000004,pareto,"(1.7763264287236338, -1.3455573928775917, 0.67124597067266811)"
505,1.6999999999999997,2.5,pareto,"(1.8189431994813292, -0.94318977114798264, 0.45251499750151392)"
506,1.6999999999999997,2.6,pareto,"(2.1767019657883973, -1.2059503445982975, 0.66130679852464613)"
507,1.6999999999999997,2.7,pareto,"(9.0127487640967967, -5.723206989020726, 5.1331310010570075)"
508,1.6999999999999997,2.8000000000000003,pareto,"(2.8906950417221147, -1.5018368879560402, 0.97025899023767881)"
509,1.6999999999999997,2.9000000000000004,pareto,"(1.5311023009006774, -1.2172980433109406, 0.54831493375596263)"
510,1.6999999999999997,3.0,pareto,"(1.8279144481705738, -1.1749289356574555, 0.59791312975121347)"
511,1.6999999999999997,3.1,pareto,"(3.3775802449517123, -2.4017191549095198, 1.6932267242491181)"
512,1.6999999999999997,3.2,pareto,"(1.7093130722854797, -1.4516137722455285, 0.70984085801633356)"
513,1.6999999999999997,3.3000000000000003,pareto,"(2.8017280026487343, -1.7878847437060239, 1.1534756240538142)"
514,1.6999999999999997,3.4000000000000004,pareto,"(2.0035870650201817, -1.5395737249519825, 0.83025617311779587)"
515,1.6999999999999997,3.5,pareto,"(1.515085110752846, -1.3150942498715221, 0.59227910431082775)"
516,1.6999999999999997,3.6,pareto,"(0.55184243082173401, -1.0158872622203305, 0.22277848422762131)"
517,1.6999999999999997,3.7,pareto,"(1.7115204641258162, -1.4995621860215747, 0.74089982117461561)"
518,1.6999999999999997,3.8000000000000003,pareto,"(1.6151763836090733, -1.5857428997197744, 0.76838545258271251)"
519,1.6999999999999997,3.9000000000000004,pareto,"(1.6626488396195125, -1.5193440690162925, 0.74522597509194366)"
520,1.7999999999999998,0.0,pareto,"(1.9306586000405934, -0.71860438306392183, 0.3147354967497239)"
521,1.7999999999999998,0.1,pareto,"(3.4352507408644799, -1.0873147342022533, 0.70022040072099834)"
522,1.7999999999999998,0.2,pareto,"(1.4341449203726029, -0.55295494563542991, 0.18441378128656871)"
523,1.7999999999999998,0.30000000000000004,pareto,"(2.3842278303365565, -0.79485889170189905, 0.41059088075670525)"
524,1.7999999999999998,0.4,pareto,"(1.8200189827907773, -0.80485757849152817, 0.35293329959855713)"
525,1.7999999999999998,0.5,pareto,"(1.9401150020885871, -0.78254914598882697, 0.34711368103996271)"
526,1.7999999999999998,0.6000000000000001,pareto,"(1.9543573062139825, -0.75034762538392297, 0.33448578053563349)"
527,1.7999999999999998,0.7000000000000001,pareto,"(11.707627532254921, -5.0302465276561339, 4.6559480908139861)"
528,1.7999999999999998,0.8,pareto,"(3.4461973567476418, -1.0943989204050952, 0.70304616075973003)"
529,1.7999999999999998,0.9,pareto,"(3.2489619207442146, -1.1556929176198505, 0.73628368434208213)"
530,1.7999999999999998,1.0,pareto,"(1.8072378564307687, -0.82941330625966136, 0.36621333497006803)"
531,1.7999999999999998,1.1,pareto,"(3.3817496678261669, -0.94387242079177269, 0.60743921412258906)"
532,1.7999999999999998,1.2000000000000002,pareto,"(2.9314495723077085, -1.1392803137224687, 0.70722695481807962)"
533,1.7999999999999998,1.3,pareto,"(3.3777555520991358, -1.0976531304477382, 0.7156970675167097)"
534,1.7999999999999998,1.4000000000000001,pareto,"(1.7429754427395121, -0.65560536317510909, 0.28017341312372424)"
535,1.7999999999999998,1.5,pareto,"(3.4257013085358823, -1.0808111376196108, 0.70631002774875284)"
536,1.7999999999999998,1.6,pareto,"(1.7039507785145465, -0.83198065167099167, 0.3587145983904263)"
537,1.7999999999999998,1.7000000000000002,pareto,"(1.7945454057185524, -0.8647760956320043, 0.38964060611440465)"
538,1.7999999999999998,1.8,pareto,"(1.51365483828938, -0.70033681559933614, 0.27334803712310241)"
539,1.7999999999999998,1.9000000000000001,pareto,"(2.8988145415094335, -1.2965717388383675, 0.80948615269671842)"
540,1.7999999999999998,2.0,pareto,"(2.1822890891383935, -0.94909826708640299, 0.50342336282331801)"
541,1.7999999999999998,2.1,pareto,"(2.111165914068601, -0.80305032267086074, 0.41195493858874299)"
542,1.7999999999999998,2.2,pareto,"(2.0948158248131654, -1.0277889612963071, 0.54781208043752661)"
543,1.7999999999999998,2.3000000000000003,pareto,"(9.8815888820041877, -4.8749714467674963, 4.4194581257903174)"
544,1.7999999999999998,2.4000000000000004,pareto,"(2.1103421430753304, -1.0991516566641075, 0.57657445146505615)"
545,1.7999999999999998,2.5,pareto,"(1.6470872041144813, -1.0675653108395986, 0.49115437964889191)"
546,1.7999999999999998,2.6,pareto,"(2.6494032248939909, -1.4131840740538237, 0.8701318501945754)"
547,1.7999999999999998,2.7,pareto,"(1.8357076739334863, -1.0254009864944293, 0.50568695577316225)"
548,1.7999999999999998,2.8000000000000003,pareto,"(1.6136635405824613, -1.103232406083849, 0.49935588909438566)"
549,1.7999999999999998,2.9000000000000004,pareto,"(1.5485894723898284, -1.1982431858864895, 0.53547068043821877)"
550,1.7999999999999998,3.0,pareto,"(2.7187500265886309, -1.2674311468992774, 0.78506102660651611)"
551,1.7999999999999998,3.1,pareto,"(4.8878605388611822, -2.9773979791388712, 2.3632834822503233)"
552,1.7999999999999998,3.2,pareto,"(2.5630395030633775, -1.66185261833887, 1.0206560603921693)"
553,1.7999999999999998,3.3000000000000003,pareto,"(1.7888716232176658, -1.4094031441197288, 0.70451873409275878)"
554,1.7999999999999998,3.4000000000000004,pareto,"(2.0854640357969245, -1.5008794313511853, 0.82428475204357499)"
555,1.7999999999999998,3.5,pareto,"(4.0744193702175924, -2.7870778896015995, 2.1009473376410317)"
556,1.7999999999999998,3.6,pareto,"(1.5010593792287832, -1.270251935091067, 0.5652570603609266)"
557,1.7999999999999998,3.7,pareto,"(3.842411951023033, -2.7546845628652106, 2.0393783162462302)"
558,1.7999999999999998,3.8000000000000003,pareto,"(1.5299120359915168, -1.3857643131668418, 0.63844929398142969)"
559,1.7999999999999998,3.9000000000000004,pareto,"(1.6548842768472682, -1.5766779189697231, 0.77213858052870998)"
560,1.8999999999999997,0.0,pareto,"(3.4861353948610434, -0.92002416996038283, 0.58154359410647394)"
561,1.8999999999999997,0.1,pareto,"(3.193192823691076, -0.93912466449864984, 0.56701625166229075)"
562,1.8999999999999997,0.2,pareto,"(1.934459271689144, -0.6833157269064456, 0.29282635687752423)"
563,1.8999999999999997,0.30000000000000004,pareto,"(2.9623685589991413, -0.69356656199229527, 0.37878600930605993)"
564,1.8999999999999997,0.4,pareto,"(2.5574328481690389, -0.71255052366358451, 0.36818408593871021)"
565,1.8999999999999997,0.5,pareto,"(2.6635819945086316, -0.83697856088777201, 0.45262317256437523)"
566,1.8999999999999997,0.6000000000000001,pareto,"(1.966469710948302, -0.65407404517084033, 0.28898445148806479)"
567,1.8999999999999997,0.7000000000000001,pareto,"(1.9052581070227506, -0.66948347625220006, 0.28399688820994062)"
568,1.8999999999999997,0.8,pareto,"(2.7067119470898744, -0.9714661317823885, 0.54568371399996773)"
569,1.8999999999999997,0.9,pareto,"(3.2636838825193211, -1.1486692428520842, 0.73731994375688648)"
570,1.8999999999999997,1.0,pareto,"(1.571742928390377, -0.4587723048910195, 0.16033863183275171)"
571,1.8999999999999997,1.1,pareto,"(3.2259872676475978, -1.0386047425110725, 0.64569842730505012)"
572,1.8999999999999997,1.2000000000000002,pareto,"(1.7738309065846798, -0.66804669289681362, 0.28348234618754287)"
573,1.8999999999999997,1.3,pareto,"(2.9223403013238749, -1.1221820278821193, 0.6848748309313617)"
574,1.8999999999999997,1.4000000000000001,pareto,"(1.8116139279045382, -0.79360307569065625, 0.34592204785118108)"
575,1.8999999999999997,1.5,pareto,"(11.223616334781411, -5.2511356543155863, 4.8425768345607167)"
576,1.8999999999999997,1.6,pareto,"(2.5784805156007864, -0.89128362772918357, 0.49564347680461729)"
577,1.8999999999999997,1.7000000000000002,pareto,"(2.9972301606030198, -1.0429400187531757, 0.64099105060883321)"
578,1.8999999999999997,1.8,pareto,"(1.964455067205082, -0.67260967078153966, 0.31130078101416236)"
579,1.8999999999999997,1.9000000000000001,pareto,"(1.9156816208619025, -0.679350298856499, 0.30864183784284571)"
580,1.8999999999999997,2.0,pareto,"(2.8604757103250611, -1.3246522359958042, 0.83129867860835893)"
581,1.8999999999999997,2.1,pareto,"(3.0404311143289871, -1.3558700050812065, 0.87224837609818973)"
582,1.8999999999999997,2.2,pareto,"(1.3082027905066074, -0.75296100664534804, 0.26811374968370794)"
583,1.8999999999999997,2.3000000000000003,pareto,"(2.0699488888970947, -0.87165052286023037, 0.4448105286864803)"
584,1.8999999999999997,2.4000000000000004,pareto,"(1.6120042362051143, -0.95801914042866221, 0.41299175500391982)"
585,1.8999999999999997,2.5,pareto,"(2.3139039232550651, -1.1125901317186573, 0.61523388332237139)"
586,1.8999999999999997,2.6,pareto,"(1.8255299711395141, -0.83634236527187777, 0.4005861244906046)"
587,1.8999999999999997,2.7,pareto,"(2.7643923551634035, -1.350428266042289, 0.83781388205284801)"
588,1.8999999999999997,2.8000000000000003,pareto,"(4.8880139184440186, -2.5627561827039997, 2.0238095043560804)"
589,1.8999999999999997,2.9000000000000004,pareto,"(2.597011073736585, -1.4435534138147501, 0.87801031244113115)"
590,1.8999999999999997,3.0,pareto,"(2.2381953697333037, -1.1862403918219213, 0.65712755015666247)"
591,1.8999999999999997,3.1,pareto,"(2.573244236605805, -1.4414574056669958, 0.8800072049821418)"
592,1.8999999999999997,3.2,pareto,"(2.6700670813558975, -1.222367972484927, 0.75325862450428849)"
593,1.8999999999999997,3.3000000000000003,pareto,"(1.806979385874361, -0.84356141514454519, 0.40475903183936823)"
594,1.8999999999999997,3.4000000000000004,pareto,"(2.0564132041269549, -1.013145166685012, 0.52338186227098871)"
595,1.8999999999999997,3.5,pareto,"(2.9969889445742766, -1.9539936991260234, 1.3032465527373653)"
596,1.8999999999999997,3.6,pareto,"(2.4880705330538611, -1.4927778272156176, 0.90127805181107457)"
597,1.8999999999999997,3.7,pareto,"(3.0785629101552177, -2.2835368665202838, 1.550861125477909)"
598,1.8999999999999997,3.8000000000000003,pareto,"(1.5645785375394943, -1.2301561423960032, 0.56328369765803554)"
599,1.8999999999999997,3.9000000000000004,pareto,"(1.6489230110614523, -1.3633895928023096, 0.6450612788591279)"
